Aux out [V]	Aux in [V]	PDH out [a.u.]
-3.9842E-1	5.6407E-1	-8.6000E+1
-3.9819E-1	5.6528E-1	-6.0100E+2
-3.9784E-1	5.6528E-1	-2.2700E+2
-3.9760E-1	5.6552E-1	-2.5400E+2
-3.9736E-1	5.6601E-1	-1.3900E+2
-3.9701E-1	5.6480E-1	-6.8100E+2
-3.9666E-1	5.6698E-1	1.6100E+2
-3.9642E-1	5.6504E-1	4.9600E+2
-3.9619E-1	5.6650E-1	-1.1000E+1
-3.9584E-1	5.6868E-1	-2.0000E+2
-3.9560E-1	5.6601E-1	4.6000E+2
-3.9525E-1	5.6601E-1	-2.8900E+2
-3.9501E-1	5.6601E-1	-6.9900E+2
-3.9466E-1	5.6577E-1	-9.6000E+1
-3.9442E-1	5.6674E-1	-6.0200E+2
-3.9419E-1	5.6722E-1	3.3000E+2
-3.9384E-1	5.6577E-1	1.8600E+2
-3.9360E-1	5.6650E-1	2.0000E+0
-3.9325E-1	5.6601E-1	-4.4500E+2
-3.9301E-1	5.6601E-1	1.8300E+2
-3.9266E-1	5.6577E-1	-5.7800E+2
-3.9242E-1	5.6552E-1	1.1800E+2
-3.9207E-1	5.6601E-1	-6.7100E+2
-3.9183E-1	5.6650E-1	3.0400E+2
-3.9160E-1	5.6650E-1	-6.3500E+2
-3.9125E-1	5.6625E-1	2.1300E+2
-3.9101E-1	5.6455E-1	-2.8000E+2
-3.9066E-1	5.6528E-1	3.0000E+2
-3.9042E-1	5.6528E-1	-5.4600E+2
-3.9007E-1	5.6528E-1	-7.6000E+1
-3.8983E-1	5.6504E-1	-3.9100E+2
-3.8960E-1	5.6504E-1	-4.2000E+2
-3.8925E-1	5.6407E-1	2.6500E+2
-3.8901E-1	5.6455E-1	4.1400E+2
-3.8866E-1	5.6431E-1	-7.5100E+2
-3.8842E-1	5.6504E-1	-6.6300E+2
-3.8807E-1	5.6504E-1	-4.6700E+2
-3.8783E-1	5.6504E-1	-2.0300E+2
-3.8748E-1	5.6480E-1	8.9000E+1
-3.8725E-1	5.6285E-1	-4.8800E+2
-3.8701E-1	5.6480E-1	1.7300E+2
-3.8666E-1	5.6358E-1	-1.1800E+2
-3.8642E-1	5.6407E-1	-4.0500E+2
-3.8607E-1	5.6139E-1	1.0600E+2
-3.8583E-1	5.6309E-1	1.1300E+2
-3.8548E-1	5.6407E-1	1.0100E+2
-3.8525E-1	5.6261E-1	-1.0200E+2
-3.8501E-1	5.6358E-1	-3.7000E+1
-3.8466E-1	5.6188E-1	-2.4100E+2
-3.8430E-1	5.6164E-1	-3.1100E+2
-3.8407E-1	5.6139E-1	-3.1200E+2
-3.8383E-1	5.6115E-1	7.6600E+2
-3.8348E-1	5.6091E-1	-1.3400E+2
-3.8325E-1	5.6018E-1	-2.3400E+2
-3.8289E-1	5.6115E-1	9.7000E+1
-3.8266E-1	5.6042E-1	4.2000E+1
-3.8230E-1	5.5896E-1	-2.1100E+2
-3.8207E-1	5.5921E-1	2.2800E+2
-3.8183E-1	5.5945E-1	-3.8000E+1
-3.8148E-1	5.5945E-1	6.4000E+1
