Aux out [V]	Aux in [V]	PDH out [a.u.]
-1.6513E-2	5.9881E-1	-5.9100E+2
-1.6160E-2	5.9832E-1	-9.7300E+2
-1.5807E-2	5.9856E-1	-2.4700E+2
-1.5571E-2	5.9929E-1	-2.6000E+2
-1.5218E-2	5.9808E-1	-8.1600E+2
-1.4866E-2	5.9711E-1	2.8100E+2
-1.4513E-2	5.9856E-1	-2.3800E+2
-1.4160E-2	5.9856E-1	-4.7600E+2
-1.3924E-2	5.9881E-1	-9.0000E+1
-1.3571E-2	5.9783E-1	-6.6500E+2
-1.3218E-2	5.9808E-1	1.3100E+2
-1.2865E-2	5.9881E-1	-3.7000E+2
-1.2512E-2	5.9856E-1	-3.3600E+2
-1.2277E-2	5.9808E-1	-6.5500E+2
-1.1924E-2	5.9905E-1	-2.9900E+2
-1.1571E-2	5.9856E-1	3.6000E+1
-1.1218E-2	5.9711E-1	1.4400E+2
-1.0983E-2	5.9832E-1	-3.2000E+2
-1.0630E-2	5.9735E-1	-1.8100E+2
-1.0277E-2	5.9808E-1	-3.1100E+2
-9.9240E-3	5.9808E-1	-3.4800E+2
-9.5710E-3	5.9856E-1	-3.4800E+2
-9.3357E-3	5.9856E-1	-4.1400E+2
-8.9827E-3	5.9856E-1	1.4800E+2
-8.6298E-3	5.9662E-1	2.9000E+2
-8.2768E-3	5.9832E-1	-2.5000E+2
-8.0415E-3	5.9783E-1	1.6000E+2
-7.6885E-3	5.9808E-1	-7.3500E+2
-7.3355E-3	5.9759E-1	-1.9200E+2
-6.9826E-3	5.9808E-1	-4.3600E+2
-6.6296E-3	5.9808E-1	2.4900E+2
-6.3943E-3	5.9735E-1	-5.9800E+2
-6.0413E-3	5.9856E-1	-4.8400E+2
-5.6884E-3	5.9832E-1	-1.9700E+2
-5.3354E-3	5.9808E-1	-4.3900E+2
-5.1001E-3	5.9759E-1	0.0000E+0
-4.7471E-3	5.9832E-1	1.8300E+2
-4.3941E-3	5.9881E-1	2.4000E+2
-4.0412E-3	5.9783E-1	-4.2800E+2
-3.6882E-3	5.9735E-1	-2.0600E+2
-3.4529E-3	5.9832E-1	-2.9900E+2
-3.0999E-3	5.9735E-1	-1.4100E+2
-2.7470E-3	5.9735E-1	3.8000E+1
-2.3940E-3	5.9881E-1	-5.0700E+2
-2.0410E-3	5.9808E-1	2.3200E+2
-1.8057E-3	5.9759E-1	-6.2000E+1
-1.4527E-3	5.9638E-1	-6.8200E+2
-1.0998E-3	5.9808E-1	-3.3000E+2
-8.6446E-4	5.9881E-1	-1.7700E+2
-3.9384E-4	5.9905E-1	-5.2000E+2
-1.5853E-4	5.9589E-1	-1.3800E+2
1.9444E-4	5.9686E-1	4.3000E+1
5.4741E-4	5.9638E-1	1.7700E+2
7.8272E-4	5.9711E-1	6.4000E+1
1.1357E-3	5.9589E-1	1.7900E+2
1.4887E-3	5.9905E-1	-5.1500E+2
1.8416E-3	5.9856E-1	-5.0900E+2
2.1946E-3	5.9759E-1	7.0000E+1
2.4299E-3	5.9638E-1	-3.3700E+2
2.7829E-3	5.9856E-1	1.8600E+2
3.1358E-3	5.9856E-1	-2.9000E+1
3.4888E-3	5.9808E-1	-5.4000E+2
3.8418E-3	5.9711E-1	-9.5400E+2
4.0771E-3	5.9492E-1	-8.0500E+2
4.4301E-3	5.9565E-1	-3.1600E+2
4.7830E-3	5.9589E-1	-1.1470E+3
5.1360E-3	5.9808E-1	-2.8600E+2
5.3713E-3	5.9565E-1	-4.9000E+1
5.7243E-3	5.9613E-1	-4.8900E+2
6.0772E-3	5.9662E-1	-8.6400E+2
6.4302E-3	5.9589E-1	-3.6700E+2
6.7832E-3	5.9783E-1	2.6600E+2
