Aux out [V]	Aux in [V]	PDH out [a.u.]
7.1259E-2	4.9434E-1	1.0200E+2
7.1376E-2	4.9483E-1	5.1000E+2
7.1376E-2	4.9459E-1	1.1600E+2
7.1494E-2	4.9386E-1	3.4000E+1
7.1612E-2	4.9410E-1	-1.4900E+2
7.1729E-2	4.9313E-1	2.6900E+2
7.1729E-2	4.9386E-1	2.0900E+2
7.1847E-2	4.9192E-1	-8.0000E+0
7.1965E-2	4.9240E-1	-2.1800E+2
7.2082E-2	4.9216E-1	3.6800E+2
7.2082E-2	4.9410E-1	-1.0200E+2
7.2200E-2	4.9192E-1	1.8000E+2
7.2317E-2	4.9337E-1	1.3300E+2
7.2435E-2	4.9386E-1	-1.4700E+2
7.2435E-2	4.9240E-1	5.1100E+2
7.2553E-2	4.9240E-1	-5.4100E+2
7.2670E-2	4.9216E-1	6.5800E+2
7.2788E-2	4.9192E-1	-9.1000E+1
7.2788E-2	4.9143E-1	8.3400E+2
7.2906E-2	4.9289E-1	-5.5200E+2
7.3023E-2	4.9362E-1	8.3000E+1
7.3141E-2	4.9289E-1	-5.0100E+2
7.3259E-2	4.9240E-1	4.3100E+2
7.3259E-2	4.9167E-1	5.5000E+2
7.3376E-2	4.9119E-1	-1.5300E+2
7.3494E-2	4.9143E-1	-1.3600E+2
7.3612E-2	4.9192E-1	-2.6000E+2
7.3612E-2	4.9216E-1	5.2900E+2
7.3729E-2	4.9046E-1	-2.2000E+1
7.3847E-2	4.9070E-1	3.3500E+2
7.3965E-2	4.9143E-1	6.4800E+2
7.3965E-2	4.9070E-1	8.8000E+1
7.4082E-2	4.9046E-1	-1.8300E+2
7.4200E-2	4.9046E-1	-1.5900E+2
7.4318E-2	4.9143E-1	5.9000E+1
7.4318E-2	4.9021E-1	-2.8100E+2
7.4435E-2	4.9070E-1	-3.7800E+2
7.4553E-2	4.9021E-1	-4.7800E+2
7.4671E-2	4.8924E-1	-3.2600E+2
7.4671E-2	4.8949E-1	2.3100E+2
7.4788E-2	4.8851E-1	-3.0000E+1
7.4906E-2	4.8803E-1	-3.8100E+2
7.5024E-2	4.8949E-1	2.9300E+2
7.5141E-2	4.8997E-1	4.3400E+2
7.5141E-2	4.8851E-1	3.9000E+1
7.5259E-2	4.8900E-1	5.1400E+2
7.5377E-2	4.8924E-1	3.5400E+2
7.5494E-2	4.8851E-1	-4.2000E+2
7.5494E-2	4.9046E-1	-3.3600E+2
7.5612E-2	4.8949E-1	-4.7900E+2
7.5730E-2	4.8803E-1	-3.4000E+1
7.5847E-2	4.8900E-1	2.0300E+2
7.5847E-2	4.9046E-1	-3.5000E+1
7.5965E-2	4.8827E-1	2.5200E+2
7.6082E-2	4.8851E-1	-5.2500E+2
7.6200E-2	4.8924E-1	3.9000E+1
7.6200E-2	4.8949E-1	2.6800E+2
7.6318E-2	4.8949E-1	-1.8600E+2
7.6435E-2	4.8900E-1	-3.0000E+1
7.6553E-2	4.8779E-1	1.2000E+2
7.6553E-2	4.8779E-1	9.2800E+2
7.6671E-2	4.8779E-1	2.2700E+2
7.6788E-2	4.8876E-1	-2.1700E+2
7.6906E-2	4.8900E-1	-3.0100E+2
7.6906E-2	4.9021E-1	-1.0000E+1
7.7024E-2	4.8997E-1	9.4000E+1
7.7141E-2	4.8779E-1	-5.0600E+2
7.7259E-2	4.8779E-1	-2.6000E+1
7.7377E-2	4.8900E-1	8.1000E+1
7.7377E-2	4.8851E-1	-2.7900E+2
7.7494E-2	4.8851E-1	2.0800E+2
7.7612E-2	4.8924E-1	-1.8700E+2
7.7730E-2	4.8876E-1	-4.9000E+1
7.7730E-2	4.8803E-1	-2.5100E+2
7.7847E-2	4.8827E-1	5.5800E+2
7.7965E-2	4.8827E-1	2.7400E+2
7.8083E-2	4.8924E-1	3.9000E+1
7.8083E-2	4.8803E-1	2.3200E+2
7.8200E-2	4.8900E-1	1.1400E+2
7.8318E-2	4.8803E-1	6.8000E+1
7.8436E-2	4.8876E-1	1.3200E+2
7.8436E-2	4.8754E-1	5.0300E+2
7.8553E-2	4.8706E-1	3.4400E+2
7.8671E-2	4.8633E-1	8.9800E+2
7.8789E-2	4.8681E-1	9.1900E+2
7.8789E-2	4.8608E-1	4.8400E+2
7.8906E-2	4.8560E-1	9.2000E+1
7.9024E-2	4.8681E-1	1.0640E+3
7.9142E-2	4.8414E-1	8.7500E+2
7.9259E-2	4.8390E-1	4.3700E+2
7.9259E-2	4.8244E-1	8.9900E+2
7.9377E-2	4.8317E-1	1.0750E+3
7.9494E-2	4.8293E-1	3.0600E+2
7.9612E-2	4.8268E-1	6.1800E+2
7.9612E-2	4.8244E-1	4.0200E+2
7.9730E-2	4.8366E-1	4.2600E+2
7.9847E-2	4.8098E-1	1.2580E+3
7.9965E-2	4.8171E-1	3.9000E+1
7.9965E-2	4.8074E-1	2.3500E+2
8.0083E-2	4.8074E-1	3.7800E+2
8.0200E-2	4.8123E-1	2.0000E+2
8.0318E-2	4.7928E-1	3.0100E+2
8.0318E-2	4.7880E-1	-2.8000E+1
8.0436E-2	4.7904E-1	1.1700E+2
8.0553E-2	4.7758E-1	3.1700E+2
8.0671E-2	4.7783E-1	5.0900E+2
8.0789E-2	4.7831E-1	7.5800E+2
8.0789E-2	4.7710E-1	3.9300E+2
8.0906E-2	4.7710E-1	6.0100E+2
8.1024E-2	4.7855E-1	2.6700E+2
8.1142E-2	4.7710E-1	1.0090E+3
8.1142E-2	4.7612E-1	-6.7000E+1
8.1259E-2	4.7637E-1	8.2000E+1
8.1377E-2	4.7685E-1	9.2900E+2
8.1495E-2	4.7588E-1	7.1000E+1
8.1495E-2	4.7540E-1	4.0100E+2
8.1612E-2	4.7540E-1	-3.2900E+2
8.1730E-2	4.7540E-1	-9.0000E+1
8.1848E-2	4.7515E-1	2.3100E+2
8.1848E-2	4.7612E-1	9.2000E+2
8.1965E-2	4.7345E-1	7.0200E+2
8.2083E-2	4.7418E-1	4.3500E+2
8.2201E-2	4.7442E-1	4.3700E+2
8.2201E-2	4.7370E-1	1.3460E+3
8.2318E-2	4.7467E-1	3.7600E+2
8.2436E-2	4.7345E-1	6.2000E+1
8.2554E-2	4.7321E-1	1.7800E+2
8.2671E-2	4.7321E-1	-1.9000E+1
8.2671E-2	4.7321E-1	2.4900E+2
8.2789E-2	4.7370E-1	6.9000E+1
8.2907E-2	4.7175E-1	2.9700E+2
8.3024E-2	4.7102E-1	1.4900E+2
8.3024E-2	4.7078E-1	7.0000E+1
8.3142E-2	4.7151E-1	-2.0000E+1
8.3259E-2	4.7248E-1	4.0500E+2
8.3377E-2	4.7102E-1	-1.7000E+2
8.3377E-2	4.7102E-1	9.7000E+1
8.3495E-2	4.7029E-1	-4.9000E+1
8.3612E-2	4.7248E-1	5.3200E+2
8.3730E-2	4.7029E-1	-3.3300E+2
8.3730E-2	4.6957E-1	1.8000E+2
8.3848E-2	4.7054E-1	6.8800E+2
8.3965E-2	4.6811E-1	7.1000E+2
8.4083E-2	4.7102E-1	-4.6100E+2
8.4083E-2	4.7078E-1	1.1300E+2
8.4201E-2	4.7029E-1	4.1300E+2
8.4318E-2	4.6859E-1	6.8200E+2
8.4436E-2	4.7054E-1	-2.9100E+2
8.4554E-2	4.6884E-1	3.6200E+2
8.4554E-2	4.6835E-1	-9.9000E+1
8.4671E-2	4.6884E-1	-1.7600E+2
8.4789E-2	4.6762E-1	2.6700E+2
8.4907E-2	4.6714E-1	2.9900E+2
8.4907E-2	4.6738E-1	-2.7100E+2
8.5024E-2	4.6568E-1	-1.6900E+2
8.5142E-2	4.6641E-1	7.6000E+1
8.5260E-2	4.6738E-1	-8.2000E+1
8.5260E-2	4.6616E-1	7.7900E+2
8.5377E-2	4.6738E-1	6.6200E+2
8.5495E-2	4.6689E-1	1.3200E+2
8.5613E-2	4.6616E-1	4.8800E+2
8.5613E-2	4.6495E-1	2.2600E+2
8.5730E-2	4.6568E-1	9.1700E+2
8.5848E-2	4.6495E-1	5.9200E+2
8.5966E-2	4.6446E-1	3.5200E+2
8.5966E-2	4.6495E-1	4.2200E+2
8.6083E-2	4.6422E-1	9.8000E+1
8.6201E-2	4.6446E-1	5.7400E+2
8.6319E-2	4.6349E-1	-4.6400E+2
8.6436E-2	4.6325E-1	3.8300E+2
8.6436E-2	4.6228E-1	4.5800E+2
8.6554E-2	4.6228E-1	4.7800E+2
8.6671E-2	4.6325E-1	7.1000E+2
8.6789E-2	4.6301E-1	1.2200E+2
8.6789E-2	4.6276E-1	-1.0700E+2
8.6907E-2	4.6252E-1	4.7600E+2
8.7024E-2	4.6033E-1	2.0200E+2
8.7142E-2	4.6203E-1	1.6000E+1
8.7142E-2	4.6082E-1	-1.2600E+2
8.7260E-2	4.6228E-1	1.8200E+2
8.7377E-2	4.6325E-1	-2.0000E+2
8.7495E-2	4.6131E-1	-3.6900E+2
8.7495E-2	4.6058E-1	2.0100E+2
8.7613E-2	4.6228E-1	4.3100E+2
8.7730E-2	4.6058E-1	-2.5000E+1
8.7848E-2	4.5985E-1	3.0400E+2
8.7966E-2	4.6252E-1	-1.5400E+2
8.7966E-2	4.6179E-1	-1.6000E+1
8.8083E-2	4.6058E-1	8.9900E+2
8.8201E-2	4.6009E-1	-4.5000E+1
8.8201E-2	4.5936E-1	1.7500E+2
8.8319E-2	4.6009E-1	6.4300E+2
8.8436E-2	4.5961E-1	-6.9000E+1
8.8554E-2	4.5863E-1	8.9700E+2
8.8672E-2	4.5742E-1	7.7000E+1
8.8672E-2	4.5936E-1	-3.4600E+2
8.8789E-2	4.5936E-1	3.1500E+2
8.8907E-2	4.6033E-1	-1.0200E+2
8.9025E-2	4.5839E-1	-3.8100E+2
8.9025E-2	4.5645E-1	3.1700E+2
8.9142E-2	4.5766E-1	1.7600E+2
8.9260E-2	4.5839E-1	-9.6000E+1
8.9378E-2	4.5790E-1	-6.5600E+2
8.9378E-2	4.5669E-1	7.5100E+2
8.9495E-2	4.5790E-1	2.9400E+2
8.9613E-2	4.5888E-1	4.4200E+2
8.9731E-2	4.5815E-1	-2.8100E+2
8.9731E-2	4.5718E-1	9.0800E+2
8.9848E-2	4.5815E-1	-4.0400E+2
8.9966E-2	4.5790E-1	2.7900E+2
9.0084E-2	4.5693E-1	6.3000E+1
9.0201E-2	4.5596E-1	1.4000E+2
9.0201E-2	4.5548E-1	6.7000E+2
9.0319E-2	4.5377E-1	0.0000E+0
9.0436E-2	4.5620E-1	-3.5900E+2
9.0554E-2	4.5645E-1	2.2300E+2
9.0554E-2	4.5450E-1	1.8700E+2
9.0672E-2	4.5572E-1	5.4300E+2
9.0789E-2	4.5377E-1	-1.7100E+2
9.0907E-2	4.5450E-1	3.1000E+2
9.0907E-2	4.5426E-1	5.5300E+2
9.1025E-2	4.5305E-1	1.8200E+2
9.1142E-2	4.5305E-1	7.5900E+2
9.1260E-2	4.5353E-1	1.1300E+2
9.1260E-2	4.5402E-1	8.0000E+0
9.1378E-2	4.5377E-1	5.0900E+2
9.1495E-2	4.5402E-1	6.8000E+2
9.1613E-2	4.5475E-1	3.3800E+2
9.1613E-2	4.5353E-1	-1.6300E+2
9.1731E-2	4.5183E-1	2.4100E+2
9.1848E-2	4.5183E-1	2.8500E+2
9.1966E-2	4.5256E-1	-4.9400E+2
9.2084E-2	4.5207E-1	-1.0300E+2
9.2084E-2	4.5159E-1	-8.9000E+1
9.2201E-2	4.5232E-1	-5.1000E+1
9.2319E-2	4.5256E-1	4.7700E+2
9.2437E-2	4.5329E-1	-3.4200E+2
9.2437E-2	4.5305E-1	-2.7100E+2
9.2554E-2	4.5280E-1	1.0000E+2
9.2672E-2	4.5159E-1	-6.7000E+1
9.2790E-2	4.5013E-1	1.6000E+1
9.2790E-2	4.5086E-1	1.1400E+2
9.2907E-2	4.5159E-1	7.5000E+1
9.3025E-2	4.5062E-1	7.9600E+2
9.3143E-2	4.5232E-1	2.9900E+2
9.3143E-2	4.5207E-1	-6.7000E+1
9.3260E-2	4.5280E-1	-2.1400E+2
9.3378E-2	4.4964E-1	8.1200E+2
9.3496E-2	4.5062E-1	-6.3000E+1
9.3496E-2	4.5135E-1	-1.5400E+2
9.3613E-2	4.5110E-1	-4.0700E+2
9.3731E-2	4.5135E-1	2.0000E+1
9.3849E-2	4.5183E-1	-8.2200E+2
9.3966E-2	4.5013E-1	-3.1000E+2
9.3966E-2	4.5110E-1	-3.4700E+2
9.4084E-2	4.5062E-1	4.5300E+2
9.4201E-2	4.5256E-1	-3.5500E+2
9.4319E-2	4.4916E-1	-7.6100E+2
9.4319E-2	4.5256E-1	-2.9800E+2
9.4437E-2	4.5135E-1	1.1500E+2
9.4554E-2	4.5256E-1	9.0000E+1
9.4672E-2	4.5135E-1	-5.7600E+2
9.4672E-2	4.5013E-1	-1.3200E+2
9.4790E-2	4.5232E-1	-4.9200E+2
9.4907E-2	4.5135E-1	-5.8200E+2
9.5025E-2	4.5232E-1	-5.1500E+2
9.5025E-2	4.5159E-1	-6.0600E+2
9.5143E-2	4.5232E-1	-2.4500E+2
9.5260E-2	4.5062E-1	1.4200E+2
9.5378E-2	4.5086E-1	-8.2000E+1
9.5378E-2	4.5013E-1	5.5200E+2
9.5496E-2	4.5086E-1	-2.9900E+2
9.5613E-2	4.5086E-1	-8.1000E+1
9.5731E-2	4.5110E-1	2.7600E+2
9.5849E-2	4.5037E-1	5.4300E+2
9.5849E-2	4.5013E-1	8.1200E+2
9.5966E-2	4.5037E-1	7.5600E+2
9.6084E-2	4.4892E-1	1.0390E+3
9.6202E-2	4.4916E-1	1.0430E+3
9.6202E-2	4.4867E-1	4.4700E+2
9.6319E-2	4.4867E-1	6.4800E+2
9.6437E-2	4.4697E-1	4.0700E+2
9.6555E-2	4.4770E-1	7.2400E+2
9.6555E-2	4.4673E-1	8.1400E+2
9.6672E-2	4.4794E-1	4.9900E+2
9.6790E-2	4.4746E-1	1.2280E+3
9.6908E-2	4.4576E-1	8.6500E+2
9.6908E-2	4.4649E-1	1.0540E+3
9.7025E-2	4.4503E-1	1.1210E+3
9.7143E-2	4.4527E-1	1.1520E+3
9.7261E-2	4.4454E-1	3.0900E+2
9.7378E-2	4.4284E-1	6.6200E+2
9.7378E-2	4.4430E-1	7.3400E+2
9.7496E-2	4.4357E-1	5.9600E+2
9.7613E-2	4.4381E-1	4.2100E+2
9.7731E-2	4.4333E-1	5.1300E+2
9.7731E-2	4.4114E-1	1.4000E+2
9.7849E-2	4.4066E-1	3.6900E+2
9.7966E-2	4.4139E-1	1.0230E+3
9.8084E-2	4.4090E-1	5.6600E+2
9.8084E-2	4.4066E-1	2.4800E+2
9.8202E-2	4.4114E-1	6.6300E+2
9.8319E-2	4.4114E-1	6.2200E+2
9.8437E-2	4.3968E-1	-3.5800E+2
9.8437E-2	4.3993E-1	5.0600E+2
9.8555E-2	4.4017E-1	-3.0700E+2
9.8672E-2	4.4066E-1	4.5700E+2
9.8790E-2	4.4066E-1	5.1700E+2
9.8790E-2	4.3896E-1	7.0800E+2
9.8908E-2	4.3871E-1	1.9000E+2
9.9025E-2	4.3774E-1	3.2500E+2
9.9143E-2	4.3701E-1	6.5000E+2
9.9261E-2	4.3726E-1	1.0200E+3
9.9261E-2	4.3871E-1	1.4500E+2
