Aux out [V]	Aux in [V]	PDH out [a.u.]
6.4201E-1	5.2034E-1	7.7000E+1
6.4201E-1	5.2107E-1	-3.2500E+2
6.4212E-1	5.2082E-1	-1.3100E+2
6.4212E-1	5.2058E-1	-1.2000E+1
6.4224E-1	5.2180E-1	-1.8800E+2
6.4224E-1	5.1985E-1	1.4600E+2
6.4236E-1	5.2107E-1	-1.7700E+2
6.4248E-1	5.2010E-1	1.4500E+2
6.4248E-1	5.1937E-1	-5.0300E+2
6.4260E-1	5.2034E-1	-1.0620E+3
6.4260E-1	5.1937E-1	1.9700E+2
6.4271E-1	5.2107E-1	-8.0000E+1
6.4271E-1	5.2082E-1	1.8900E+2
6.4283E-1	5.1961E-1	-3.2000E+1
6.4295E-1	5.2082E-1	3.1400E+2
6.4295E-1	5.1985E-1	2.2000E+1
6.4307E-1	5.2082E-1	4.3000E+2
6.4307E-1	5.2058E-1	1.6200E+2
6.4318E-1	5.2010E-1	-3.7000E+1
6.4318E-1	5.2180E-1	-2.0200E+2
6.4330E-1	5.2058E-1	4.9800E+2
6.4342E-1	5.2058E-1	2.5600E+2
6.4342E-1	5.1961E-1	-8.2000E+1
6.4354E-1	5.1912E-1	-4.1100E+2
6.4354E-1	5.2034E-1	4.6400E+2
6.4365E-1	5.2107E-1	6.6500E+2
6.4365E-1	5.1985E-1	-3.8100E+2
6.4377E-1	5.1912E-1	5.7100E+2
6.4389E-1	5.2058E-1	-4.0700E+2
6.4389E-1	5.1864E-1	-7.4100E+2
6.4401E-1	5.1888E-1	5.3100E+2
6.4401E-1	5.1985E-1	5.7600E+2
6.4412E-1	5.1888E-1	-9.4000E+1
6.4412E-1	5.1961E-1	-6.1700E+2
6.4424E-1	5.1888E-1	1.0500E+2
6.4436E-1	5.1961E-1	-2.0800E+2
6.4436E-1	5.1961E-1	4.4500E+2
6.4448E-1	5.1888E-1	-4.0300E+2
6.4448E-1	5.1815E-1	-4.1000E+1
6.4460E-1	5.1791E-1	-1.8800E+2
6.4460E-1	5.2034E-1	5.9000E+1
6.4471E-1	5.1912E-1	-4.1000E+1
