Aux out [V]	Aux in [V]	PDH out [a.u.]
-7.5692E-1	6.1800E-1	-2.4400E+2
-7.5504E-1	6.1678E-1	-3.9600E+2
-7.5316E-1	6.1557E-1	-3.0000E+1
-7.5127E-1	6.1800E-1	-6.2800E+2
-7.4939E-1	6.1775E-1	7.3900E+2
-7.4727E-1	6.1897E-1	2.1300E+2
-7.4539E-1	6.1605E-1	3.5200E+2
-7.4351E-1	6.1605E-1	-3.9000E+1
-7.4163E-1	6.1557E-1	-1.8900E+2
-7.3974E-1	6.1678E-1	-3.0000E+2
-7.3763E-1	6.1703E-1	-4.4200E+2
-7.3574E-1	6.1630E-1	8.0000E+0
-7.3386E-1	6.1703E-1	-3.7300E+2
-7.3198E-1	6.1533E-1	1.2000E+2
-7.3010E-1	6.1727E-1	-1.4000E+2
-7.2821E-1	6.1581E-1	-2.8700E+2
-7.2610E-1	6.1654E-1	-8.3600E+2
-7.2421E-1	6.1605E-1	-8.8300E+2
-7.2233E-1	6.1630E-1	-1.1700E+2
-7.2045E-1	6.1533E-1	-3.7700E+2
-7.1857E-1	6.1533E-1	3.0000E+0
-7.1645E-1	6.1435E-1	-1.6700E+2
-7.1456E-1	6.1533E-1	-1.9000E+2
-7.1268E-1	6.1338E-1	-7.4300E+2
-7.1080E-1	6.1605E-1	-1.0300E+2
-7.0892E-1	6.1314E-1	-3.5900E+2
-7.0703E-1	6.1362E-1	1.7000E+2
-7.0492E-1	6.1290E-1	-4.1900E+2
-7.0303E-1	6.1314E-1	2.9700E+2
-7.0115E-1	6.1217E-1	-3.7300E+2
-6.9927E-1	6.1022E-1	2.8200E+2
-6.9739E-1	6.1047E-1	-4.5300E+2
-6.9527E-1	6.0949E-1	-6.2300E+2
-6.9339E-1	6.0974E-1	-5.7000E+2
-6.9150E-1	6.0925E-1	-1.4400E+2
-6.8962E-1	6.0755E-1	-3.7700E+2
-6.8774E-1	6.0852E-1	-5.5000E+1
-6.8586E-1	6.0707E-1	4.4800E+2
-6.8374E-1	6.0731E-1	3.6800E+2
-6.8186E-1	6.0464E-1	-4.7200E+2
-6.7997E-1	6.0634E-1	2.6300E+2
-6.7809E-1	6.0585E-1	-7.3000E+2
-6.7621E-1	6.0342E-1	-2.6300E+2
-6.7409E-1	6.0002E-1	-1.8100E+2
-6.7221E-1	6.0148E-1	-1.0000E+0
